Hotel Name,Location,County or Region,Country,Hotel Description,Price Range,Amenities,Hotel Category,Contact Information,Website URL,Source URL
Muthu Silver Springs Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,+254 7030 48000,https://www.muthuhotelsmgm.com/muthu-silver-springs-hotel.html,https://www.openstreetmap.org/node/30030203
Olive Gardens,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/30210283
Nairobi Serena Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Kenyatta Avenue, Nairobi",No website available,https://www.openstreetmap.org/node/30215036
High Point Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/30215039
Southern Sun Mayfair,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Parklands Road, Nairobi",No website available,https://www.openstreetmap.org/node/30324281
Insomnia Bar and lounge,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Parklands Road, Nairobi",No website available,https://www.openstreetmap.org/node/30324312
Parklands Shade Hotel K1 Clubhouse,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Ojijo Road, Nairobi",No website available,https://www.openstreetmap.org/node/30402749
Kivi Milimani,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Milimani Road, Nairobi",No website available,https://www.openstreetmap.org/node/30406081
Sagret Hotel Equatorial,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/30406082
Panari Group,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Mombasa Road, Nairobi",No website available,https://www.openstreetmap.org/node/30695846
Windsor Golf Hotel & Country Club,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,internet access,Unrated,Kigwa Road,https://www.windsorgolfresort.com/,https://www.openstreetmap.org/node/272320860
China Garden,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"United Nations Avenue, Nairobi",No website available,https://www.openstreetmap.org/node/280242935
Wasini Luxury Homes,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Church Road, Nairobi",No website available,https://www.openstreetmap.org/node/291529201
Karen Lodge,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/374275570
Safari Park Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Thika Road, Nairobi",No website available,https://www.openstreetmap.org/node/473447881
Aero Club of East Africa,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,Langata Road,No website available,https://www.openstreetmap.org/node/521103937
Glory Food hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/612007668
Kwa Izo Hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/612007837
Mzambani hotel,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,No contact information available,No website available,https://www.openstreetmap.org/node/612009131
Bidwod Suites,Nairobi,Nairobi County,Kenya,A hotel located in Nairobi.,Check website,No amenities listed,Unrated,"Lower Kabete Road, Nairobi",No website available,https://www.openstreetmap.org/node/651302310
